freq,unit,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PC_GDP,ED0,AT	0.54 	0.55 	0.58 	0.58 	0.60 	0.61 	0.61 	0.43 	0.69 
A,PC_GDP,ED0,BG	0.89 	1.03 	1.05 	0.97 	0.95 	0.94 	0.92 	0.93 	0.97 
A,PC_GDP,ED0,CH	0.18 	0.18 	0.24 	0.41 	0.41 	0.41 	0.40 	: 	0.45 
A,PC_GDP,ED0,CY	0.34 	0.35 	: 	0.37 	0.35 	0.33 	0.31 	0.29 	0.32 
A,PC_GDP,ED0,CZ	0.54 	0.54 	0.55 	0.52 	0.49 	0.53 	0.55 	0.58 	0.62 
A,PC_GDP,ED0,DE	0.60 	0.64 	0.68 	0.70 	0.74 	0.78 	0.83 	0.89 p	1.02 p
A,PC_GDP,ED0,DK	1.25 	1.18 	1.13 	: 	0.95 	0.95 	0.94 	0.97 	1.00 
A,PC_GDP,ED0,EE	0.43 	0.35 	0.93 	1.03 	1.04 	1.04 	1.06 	1.13 	1.20 
A,PC_GDP,ED0,ES	0.65 	0.63 	0.62 	0.61 	0.59 	0.58 	0.59 	0.59 p	0.68 p
A,PC_GDP,ED0,EU27_2020	: d	: d	0.67 d	0.65 d	: 	0.64 d	0.65 d	0.66 d	0.73 d
A,PC_GDP,ED0,EU28	: 	: 	: 	: 	: 	0.57 d	0.59 d	0.60 d	: 
A,PC_GDP,ED0,FI	1.13 d	1.11 	1.11 	1.11 	1.10 	1.03 	1.08 	1.13 	1.15 
A,PC_GDP,ED0,FR	0.65 	0.70 	0.70 	0.70 	0.69 	0.70 	0.69 	0.67 p	0.70 
A,PC_GDP,ED0,HR	: 	: 	: 	: 	0.52 d	0.54 	0.54 	0.56 	0.63 
A,PC_GDP,ED0,HU	: 	: 	0.81 	0.81 	0.81 	0.73 	0.71 	0.70 	0.67 
A,PC_GDP,ED0,IE	: 	0.11 	0.10 	0.07 	0.12 	0.15 	0.16 	0.17 	0.12 
A,PC_GDP,ED0,IS	1.53 	1.44 	1.54 	1.49 	1.43 	1.50 	1.57 	1.58 	1.85 
A,PC_GDP,ED0,IT	0.45 	0.45 	0.46 	0.48 	0.44 	0.47 	0.48 	0.49 	0.48 
A,PC_GDP,ED0,LT	0.63 	2.15 	0.62 	0.67 	0.75 	0.76 	0.86 	0.87 	1.03 
A,PC_GDP,ED0,LU	0.65 	0.53 	0.57 	0.57 	0.47 	0.48 	0.48 	0.52 	0.53 
A,PC_GDP,ED0,LV	1.13 	0.82 	0.86 	0.81 	0.80 	0.82 	0.76 	: 	1.10 
A,PC_GDP,ED0,MT	0.41 	0.43 	0.40 	0.37 	0.37 d	0.34 d	0.35 d	0.37 d	0.42 d
A,PC_GDP,ED0,NL	0.41 	0.38 	0.37 	0.36 	0.35 	0.34 	0.35 	0.35 	0.38 
A,PC_GDP,ED0,NO	1.42 	1.43 	1.37 	1.41 	1.46 	1.44 	1.39 	1.45 	1.53 
A,PC_GDP,ED0,PL	0.56 	0.59 	0.61 	0.61 	0.64 	0.67 	0.70 	0.73 	0.77 
A,PC_GDP,ED0,PT	0.39 	0.42 	0.42 	0.39 	: 	: 	: 	: 	: 
A,PC_GDP,ED0,RO	: 	: 	0.36 	0.36 	0.33 	0.34 	0.36 	0.41 	0.41 
A,PC_GDP,ED0,RS	: 	0.06 	0.06 	0.07 	: 	0.06 d	: 	: 	: 
A,PC_GDP,ED0,SE	1.85 	1.84 	1.84 	1.83 	1.83 	1.72 	1.73 	1.70 	1.73 
A,PC_GDP,ED0,SI	1.00 	0.97 	1.00 	0.86 	0.81 	0.82 	0.80 	0.80 	0.90 
A,PC_GDP,ED0,SK	: 	0.44 	0.49 	0.49 	0.50 	0.53 	0.55 	0.63 	0.66 
A,PC_GDP,ED0,TR	0.24 	0.20 	0.19 	0.20 d	0.25 d	: 	: 	: 	: 
A,PC_GDP,ED0,UK	0.38 	0.33 	0.23 	0.28 b	0.23 	0.25 	0.25 	0.25 	: 
A,PC_GDP,ED01,AT	0.07 	0.08 	0.09 	0.10 	0.10 	0.11 	0.11 	0.07 	0.14 
A,PC_GDP,ED01,BG	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GDP,ED01,CH	: z	: z	: z	: z	: z	: z	: z	: 	: z
A,PC_GDP,ED01,CY	: z	: z	: 	0.02 	0.01 	0.01 	0.01 	0.01 	0.01 
A,PC_GDP,ED01,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GDP,ED01,DE	0.18 	0.20 	0.24 	0.24 	0.27 	0.29 	0.31 	0.33 p	0.38 p
A,PC_GDP,ED01,DK	0.00 	: d	: d	: 	0.52 	0.51 	0.51 	0.52 	0.53 
A,PC_GDP,ED01,EE	: 	: d	: d	: d	: d	: d	: d	: d	: d
A,PC_GDP,ED01,ES	0.15 	0.14 	0.14 	0.14 	0.13 	0.13 	0.15 	0.16 p	0.18 p
A,PC_GDP,ED01,FI	0.35 d	0.34 	0.34 	0.34 	0.34 	0.32 	0.34 	0.36 	0.37 
A,PC_GDP,ED01,FR	: z	: z	: z	: z	: z	: z	: z	: p	: z
A,PC_GDP,ED01,HR	: 	: 	: 	: 	: d	: d	: d	: d	: d
A,PC_GDP,ED01,HU	: 	: 	: d	0.04 e	0.04 	0.04 	0.03 	0.03 	0.03 
A,PC_GDP,ED01,IE	: 	: z	: z	: z	: d	: d	: d	: d	: d
A,PC_GDP,ED01,IS	0.60 	0.54 	0.61 	0.59 	0.58 	0.61 	0.65 	0.68 	0.82 
A,PC_GDP,ED01,IT	: z	: z	: z	: dz	: d	: z	: z	: z	: z
A,PC_GDP,ED01,LI	: d	: d	: d	: d	: d	: 	: 	: 	: 
A,PC_GDP,ED01,LT	: d	: d	0.12 	0.11 	0.13 	0.14 	0.17 	0.17 	0.19 
A,PC_GDP,ED01,LU	0.00 	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GDP,ED01,LV	: z	: z	: z	: z	: z	: z	: z	: 	0.20 
A,PC_GDP,ED01,MT	: z	: dz	: z	: dz	: dz	: 	: 	: 	: 
A,PC_GDP,ED01,NL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GDP,ED01,NO	0.69 	0.70 	0.67 	0.70 	0.72 	0.73 	0.70 	0.73 	0.77 
A,PC_GDP,ED01,PL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GDP,ED01,PT	: z	: z	: z	: z	: 	: 	: 	: 	: 
A,PC_GDP,ED01,RO	: 	: 	0.02 	0.02 	0.03 	0.03 	0.03 	0.03 	0.04 
A,PC_GDP,ED01,RS	: 	: 	: 	0.00 	: 	: z	: 	: 	: 
A,PC_GDP,ED01,SE	0.56 	0.54 	0.54 	0.54 	0.54 	0.51 	0.51 	0.58 	0.58 
A,PC_GDP,ED01,SI	0.32 	0.36 	0.34 	0.30 	0.29 	0.29 	0.29 	0.29 	0.33 
A,PC_GDP,ED01,SK	: 	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GDP,ED01,TR	: d	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_GDP,ED01,UK	0.04 	0.03 	0.03 	0.03 b	0.03 	0.03 	0.03 	0.03 	: 
A,PC_GDP,ED02,AT	0.47 	0.47 	0.48 	0.49 	0.50 	0.51 	0.49 	0.36 	0.55 
A,PC_GDP,ED02,BE	0.68 	0.71 	0.70 	0.70 	0.70 	0.68 	0.69 	0.68 	0.72 p
A,PC_GDP,ED02,BG	0.89 	1.03 	1.05 	0.97 	0.95 	0.94 	0.92 	0.93 	0.97 
A,PC_GDP,ED02,CH	0.18 	0.18 	0.24 	0.41 	0.41 	0.41 	0.40 	: 	0.45 
A,PC_GDP,ED02,CY	0.34 	0.35 	0.35 	0.35 	0.33 	0.32 	0.30 	0.28 	0.30 
A,PC_GDP,ED02,CZ	0.54 	0.54 	0.55 	0.52 	0.49 	0.53 	0.55 	0.58 	0.62 
A,PC_GDP,ED02,DE	0.43 	0.44 	0.44 	0.46 	0.47 	0.49 	0.51 	0.55 p	0.64 p
A,PC_GDP,ED02,DK	1.25 	: d	: 	: 	0.44 	0.44 	0.43 	0.45 	0.47 
A,PC_GDP,ED02,EE	0.43 d	0.35 d	: d	: d	: d	: d	: d	: d	: d
A,PC_GDP,ED02,EL	0.24 	0.25 	0.27 	0.26 	0.27 	0.25 p	0.26 	0.27 p	: 
A,PC_GDP,ED02,ES	0.50 	0.48 	0.48 	0.47 	0.46 	0.44 	0.44 	0.43 p	0.50 p
A,PC_GDP,ED02,EU27_2020	0.54 d	0.54 d	0.54 d	0.54 d	: 	0.55 d	0.54 d	0.55 d	0.59 d
A,PC_GDP,ED02,EU28	: 	: 	: 	: 	: 	0.49 d	0.49 d	0.50 d	: 
A,PC_GDP,ED02,FI	0.78 d	0.77 	0.77 	0.77 	0.76 	0.71 	0.74 	0.77 	0.78 
A,PC_GDP,ED02,FR	0.65 	0.70 	0.70 	0.70 	0.69 	0.70 	0.69 	0.67 p	0.70 
A,PC_GDP,ED02,HR	: 	: 	: 	: 	0.52 d	0.54 	0.54 	0.56 d	: d
A,PC_GDP,ED02,HU	0.65 	0.65 	: d	0.78 e	0.77 	0.70 	0.67 	0.67 	0.65 
A,PC_GDP,ED02,IE	0.11 	0.11 	0.10 	0.07 	: d	: d	: d	: d	: d
A,PC_GDP,ED02,IS	0.93 	0.90 	0.93 	0.90 	0.85 	0.89 	0.92 	0.90 	1.03 
A,PC_GDP,ED02,IT	0.45 	0.45 	0.46 	0.48 	0.44 	0.47 	0.48 	0.49 	0.48 
A,PC_GDP,ED02,LT	0.63 d	: d	0.50 	0.56 	0.63 	0.62 	0.69 	0.70 	0.83 
A,PC_GDP,ED02,LU	0.65 	0.53 	0.57 	0.57 	0.47 	0.48 	0.48 	0.52 	0.53 
A,PC_GDP,ED02,LV	1.13 	0.82 	0.86 	0.81 	0.80 	0.82 	0.76 	0.81 	0.90 
A,PC_GDP,ED02,MT	0.41 	0.43 	0.40 	0.37 	0.37 	0.34 	0.35 	0.37 	0.42 
A,PC_GDP,ED02,NL	0.41 	0.38 	0.37 	0.36 	0.35 	0.34 	0.35 	0.35 	0.38 
A,PC_GDP,ED02,NO	0.73 	0.73 	0.69 	0.72 	0.74 	0.72 	0.69 	0.72 	0.77 
A,PC_GDP,ED02,PL	0.56 	0.59 	0.61 	0.61 	0.64 	0.67 	0.70 	0.73 	0.77 
A,PC_GDP,ED02,PT	0.39 	0.42 	0.42 	0.39 	0.38 	0.40 	0.36 	0.35 	0.38 
A,PC_GDP,ED02,RO	0.29 	0.30 	0.34 	0.33 	0.31 	0.31 	0.33 	0.37 	0.38 
A,PC_GDP,ED02,RS	: 	: 	: 	0.00 	: 	: z	: 	: 	: 
A,PC_GDP,ED02,SE	1.29 	1.29 	1.30 	1.29 	1.29 	1.21 	1.21 	1.12 	1.15 
A,PC_GDP,ED02,SI	0.68 	0.61 	0.65 	0.56 	0.52 	0.52 	0.51 	0.51 	0.57 
A,PC_GDP,ED02,SK	: 	0.44 	0.49 	0.49 	0.50 	0.53 	0.55 	0.63 	0.66 
A,PC_GDP,ED02,TR	: d	: 	: 	: 	0.25 	0.24 	0.27 	0.31 	0.24 
A,PC_GDP,ED02,UK	0.33 	0.31 	0.20 	0.26 b	0.20 	0.22 	0.22 	0.22 	: 
A,PC_GDP,ED02-8,AT	5.62 	5.49 	5.40 	5.43 	5.38 	5.25 	5.11 	4.71 	5.43 
A,PC_GDP,ED02-8,BE	6.43 	6.56 	6.49 	6.43 	6.33 	6.30 	6.29 	6.25 	6.71 p
A,PC_GDP,ED02-8,BG	3.68 	4.06 	4.22 	3.93 	3.86 	4.09 	4.05 	4.20 	4.50 
A,PC_GDP,ED02-8,CH	: 	: 	5.01 	5.08 	5.03 	5.05 	4.77 	: 	5.19 
A,PC_GDP,ED02-8,CY	6.06 	6.14 	6.12 	6.17 	6.02 	5.77 	5.49 	5.24 	5.67 
A,PC_GDP,ED02-8,CZ	4.33 	3.95 	3.84 	3.79 	3.56 	3.77 	4.23 	4.50 	4.67 
A,PC_GDP,ED02-8,DE	4.64 	4.61 	4.57 	4.52 	4.50 	4.51 	4.59 	4.70 dp	5.12 dp
A,PC_GDP,ED02-8,DK	: 	: d	: 	: 	6.96 	6.60 	6.49 	6.36 	6.86 
A,PC_GDP,ED02-8,EE	4.70 d	4.85 d	: d	: d	: d	: d	: d	: d	: d
A,PC_GDP,ED02-8,EL	3.64 d	3.58 d	3.62 d	3.68 d	: 	3.41 p	3.60 	3.59 p	: 
A,PC_GDP,ED02-8,ES	4.34 	4.18 	4.15 	4.16 	4.10 	4.07 	4.03 	4.08 p	4.72 p
A,PC_GDP,ED02-8,EU27_2020	: d	: d	4.96 d	4.81 d	: 	4.67 d	4.70 d	4.70 d	5.02 d
A,PC_GDP,ED02-8,EU28	: 	: 	: 	: 	: 	4.73 d	4.75 d	4.76 d	: 
A,PC_GDP,ED02-8,FI	: 	: 	6.81 	6.75 	6.55 	6.06 	5.93 	6.06 	6.27 
A,PC_GDP,ED02-8,FR	5.46 	5.51 d	5.52 	5.47 	5.42 	5.45 	5.41 	5.35 p	5.66 
A,PC_GDP,ED02-8,HR	: 	: 	: 	: 	3.84 d	: d	: d	3.92 	3.80 
A,PC_GDP,ED02-8,HU	4.07 	3.98 	: d	4.26 e	4.46 	4.18 	4.07 	3.90 	3.83 
A,PC_GDP,ED02-8,IE	6.16 	5.32 	4.92 	3.77 	: d	: d	: d	: d	: d
A,PC_GDP,ED02-8,IS	7.24 	6.84 d	6.98 	6.84 	6.51 	6.60 	6.61 	6.54 	7.33 
A,PC_GDP,ED02-8,IT	4.08 	4.16 	4.08 	4.10 	3.82 	4.04 	4.26 	4.10 	4.44 
A,PC_GDP,ED02-8,LI	: 	: d	: d	: d	: d	: 	: 	: 	: 
A,PC_GDP,ED02-8,LT	4.83 d	: d	4.37 	4.12 	3.88 	3.67 	3.73 	3.80 	4.32 
A,PC_GDP,ED02-8,LU	4.39 	: 	4.00 	3.90 	3.59 	3.57 	3.46 	3.72 	3.84 
A,PC_GDP,ED02-8,LV	6.59 	4.91 	5.28 	5.33 	4.72 	4.40 	4.25 	4.43 	4.63 
A,PC_GDP,ED02-8,MT	5.31 	5.60 	5.09 	4.89 	4.75 	4.32 	4.64 	4.59 	5.25 
A,PC_GDP,ED02-8,NL	5.89 	5.59 	5.53 	5.40 	5.48 	5.18 	5.36 	5.16 	5.42 
A,PC_GDP,ED02-8,NO	: d	6.45 d	6.64 	6.72 	7.01 	6.94 	6.84 	7.09 	7.48 
A,PC_GDP,ED02-8,PL	4.91 	4.94 	4.91 d	4.81 	4.63 	4.56 	4.62 	4.67 	4.85 
A,PC_GDP,ED02-8,PT	: d	5.20 	5.04 d	4.79 d	4.69 	4.90 	4.59 	4.61 	4.85 
A,PC_GDP,ED02-8,RO	2.64 	2.67 	2.75 	2.72 	2.58 	2.69 	2.82 	3.16 	3.14 
A,PC_GDP,ED02-8,RS	: 	: 	: 	3.84 	: 	3.59 d	: 	: 	: 
A,PC_GDP,ED02-8,SE	7.38 	7.17 	7.14 	7.05 	7.13 	7.06 	7.18 	7.06 	7.34 
A,PC_GDP,ED02-8,SI	5.44 	5.12 	4.99 	4.64 	4.51 	4.48 	4.64 	4.61 	5.06 
A,PC_GDP,ED02-8,SK	: 	4.01 	4.09 	4.59 	3.89 	3.94 	3.98 	4.29 	4.76 
A,PC_GDP,ED02-8,TR	: d	: 	: 	: d	4.66 	4.35 	4.29 	4.44 	4.01 
A,PC_GDP,ED02-8,UK	: 	5.89 	5.85 	5.68 b	5.40 	5.36 	5.16 	5.21 	: 
A,PC_GDP,ED1,AT	0.88 	0.91 	0.90 	0.92 	0.91 	0.91 	0.89 	0.86 	0.95 
A,PC_GDP,ED1,BE	1.56 	1.55 	1.53 	1.54 	1.54 	1.51 	1.52 	1.49 	1.62 p
A,PC_GDP,ED1,BG	0.69 	0.80 	0.83 	0.79 	0.81 	0.81 	0.82 	0.83 	0.90 
A,PC_GDP,ED1,CH	1.48 	1.50 	1.51 	1.47 	1.48 	1.50 	1.43 	: 	1.59 
A,PC_GDP,ED1,CY	1.98 	1.97 	2.01 	2.05 	2.06 	1.88 	1.90 	1.86 	2.03 
A,PC_GDP,ED1,CZ	0.75 	0.73 	0.74 	0.77 	0.74 	0.81 	0.85 	0.91 	1.01 
A,PC_GDP,ED1,DE	0.63 	0.63 	0.63 	0.62 	0.63 	0.63 	0.65 	0.68 p	0.74 p
A,PC_GDP,ED1,DK	2.23 	2.11 	2.08 	: 	1.71 	1.67 	1.63 	1.59 	1.74 
A,PC_GDP,ED1,EE	1.27 	1.49 	1.21 	1.25 	1.29 	1.36 	1.46 	1.61 	1.70 
A,PC_GDP,ED1,EL	1.10 	1.14 	1.21 	1.22 	1.21 	1.18 p	1.25 	1.30 p	: 
A,PC_GDP,ED1,ES	1.15 	1.13 	1.13 	1.14 	1.14 	1.13 	1.12 	1.12 p	1.29 p
A,PC_GDP,ED1,EU27_2020	1.06 d	1.07 d	1.06 d	1.03 d	: 	1.04 	1.04 	1.05 	1.12 d
A,PC_GDP,ED1,EU28	: 	: 	: 	: 	: 	1.13 	1.13 	1.14 	: 
A,PC_GDP,ED1,FI	1.37 d	1.33 	1.37 	1.44 	1.41 	1.34 	1.35 	1.41 	1.44 
A,PC_GDP,ED1,FR	1.13 	1.14 	1.14 	1.13 	1.12 	1.16 	1.16 	1.17 p	1.25 
A,PC_GDP,ED1,HR	: 	: 	: 	: 	1.64 d	1.65 	1.66 	1.66 d	1.88 d
A,PC_GDP,ED1,HU	0.75 	0.87 	0.58 	0.76 	0.76 	0.66 	0.64 	0.79 	0.76 
A,PC_GDP,ED1,IE	2.27 	1.93 	1.79 	1.39 	1.38 	1.21 	1.16 	1.14 	1.15 
A,PC_GDP,ED1,IS	2.33 	2.22 	2.31 	2.23 	2.08 	2.20 	2.28 	2.21 	2.49 
A,PC_GDP,ED1,IT	0.98 	1.02 	1.00 	1.02 	0.91 	0.98 	0.96 	1.02 	1.20 
A,PC_GDP,ED1,LT	0.74 	2.43 	0.68 	0.70 	0.76 	0.74 	0.72 	0.75 	0.83 
A,PC_GDP,ED1,LU	1.43 	1.16 	1.23 	1.23 	1.02 	1.05 	1.04 	1.14 	1.16 
A,PC_GDP,ED1,LV	1.86 	1.47 	1.59 	1.60 	1.51 	1.35 	1.28 	1.29 	1.31 
A,PC_GDP,ED1,MT	1.04 	1.09 	1.03 	0.97 	0.94 	0.92 	1.00 	1.00 	1.15 
A,PC_GDP,ED1,NL	1.40 	1.31 	1.24 	1.21 	1.16 	1.15 	1.16 	1.15 	1.24 
A,PC_GDP,ED1,NO	1.66 	1.67 	1.66 	1.79 	1.82 	1.86 	1.86 	1.92 	1.98 
A,PC_GDP,ED1,PL	1.50 	1.50 	1.54 	1.49 	1.47 	1.44 	1.46 	1.25 	1.10 
A,PC_GDP,ED1,PT	1.44 	1.57 	1.53 	1.42 	1.38 	1.48 	1.40 	1.38 	1.45 
A,PC_GDP,ED1,RO	0.48 	0.50 	0.43 	0.41 	0.37 	0.38 	0.40 	0.45 	0.44 
A,PC_GDP,ED1,RS	: 	: 	: 	0.00 	: 	: d	: 	: 	: 
A,PC_GDP,ED1,SE	1.75 	1.73 	1.75 	1.77 	1.85 	1.89 	1.92 	1.94 	1.99 
A,PC_GDP,ED1,SI	1.60 	1.53 	1.51 	1.40 	1.38 	1.37 	1.43 	1.41 	1.60 
A,PC_GDP,ED1,SK	: 	0.80 	0.81 	0.89 	0.87 	0.88 	0.91 	0.99 	1.08 
A,PC_GDP,ED1,TR	1.10 	0.97 	1.04 	0.98 d	0.84 	0.72 	0.72 	0.83 	0.76 
A,PC_GDP,ED1,UK	1.83 	1.71 	1.89 	1.90 b	1.76 	1.71 	1.69 	1.69 	: 
A,PC_GDP,ED1_2,AT	2.13 	2.14 	2.10 	2.12 	2.11 	2.08 	1.99 	1.93 	2.07 
A,PC_GDP,ED1_2,BE	2.46 	2.45 	2.43 	2.43 	2.41 	2.39 	2.40 	2.37 	2.57 p
A,PC_GDP,ED1_2,BG	1.39 	1.59 	1.64 	1.56 	1.59 	1.61 	1.60 	1.65 	1.79 
A,PC_GDP,ED1_2,CH	2.52 	: 	2.52 	2.41 	2.39 	2.39 	2.26 	: 	2.49 
A,PC_GDP,ED1_2,CY	3.22 	3.22 	3.27 	3.28 	3.26 	2.98 	2.96 	2.92 	3.20 
A,PC_GDP,ED1_2,CZ	1.70 	1.61 	1.62 	1.65 	1.57 	1.74 	1.85 	2.06 	2.20 
A,PC_GDP,ED1_2,DE	1.88 	1.87 	1.85 	1.81 	1.80 	1.79 	1.83 	1.89 p	2.04 p
A,PC_GDP,ED1_2,DK	: 	3.25 	3.31 	: 	2.72 	2.67 	2.63 	2.56 	2.85 
A,PC_GDP,ED1_2,EE	2.01 	2.20 	1.81 	1.88 	1.91 	1.99 	2.14 	2.38 	2.55 
A,PC_GDP,ED1_2,EL	1.83 	1.88 	1.94 	1.95 	1.90 	1.85 p	1.98 	1.98 p	: 
A,PC_GDP,ED1_2,ES	2.00 	1.89 	1.88 	1.90 	1.88 	1.86 	1.85 	1.87 p	2.17 p
A,PC_GDP,ED1_2,EU27_2020	2.11 d	2.10 d	2.08 d	2.03 d	: 	2.00 d	2.00 d	2.04 	2.16 d
A,PC_GDP,ED1_2,EU28	: 	: 	: 	: 	: 	2.06 d	2.07 d	2.11 	: 
A,PC_GDP,ED1_2,FI	: 	: 	2.46 	2.56 	2.52 	2.39 	2.41 	2.53 	2.59 
A,PC_GDP,ED1_2,FR	2.37 	2.38 	2.38 	2.36 	2.33 	2.35 	2.34 	2.34 p	2.51 
A,PC_GDP,ED1_2,HR	: 	: 	: 	: 	1.64 d	: d	: d	1.66 	1.88 
A,PC_GDP,ED1_2,HU	1.52 	1.50 	1.17 	1.44 	1.56 	1.31 	1.29 	1.53 	1.48 
A,PC_GDP,ED1_2,IE	3.31 	2.82 	2.60 	2.02 	2.02 	1.69 	1.65 	1.61 	1.65 
A,PC_GDP,ED1_2,IS	3.42 	3.24 	3.38 	3.25 	3.03 	3.21 	3.34 	3.24 	3.64 
A,PC_GDP,ED1_2,IT	1.69 	1.71 	1.69 	1.73 	1.55 	1.66 	1.63 	1.71 	1.84 
A,PC_GDP,ED1_2,LT	2.02 	6.47 	1.81 	1.77 	1.85 	1.75 	1.72 	1.78 	1.97 
A,PC_GDP,ED1_2,LU	2.32 	1.96 	2.04 	1.99 	1.77 	1.79 	1.77 	1.91 	1.97 
A,PC_GDP,ED1_2,LV	2.76 	2.18 	2.33 	2.36 	2.21 	1.98 	1.88 	1.91 	1.95 
A,PC_GDP,ED1_2,MT	1.78 	1.85 	1.68 	1.66 	1.78 	1.68 	1.81 	1.79 	2.12 
A,PC_GDP,ED1_2,NL	2.68 	2.55 	2.43 	2.39 	2.33 	2.26 	2.25 	2.21 	2.33 
A,PC_GDP,ED1_2,NO	2.43 	2.46 	2.44 	2.64 	2.69 	2.68 	2.69 	2.78 	2.89 
A,PC_GDP,ED1_2,PL	2.30 	2.29 	2.30 	2.19 	2.16 	2.08 	2.14 	2.08 	2.09 
A,PC_GDP,ED1_2,PT	2.63 	2.80 	2.70 	2.51 	2.50 	2.61 	2.47 	2.43 	2.53 
A,PC_GDP,ED1_2,RO	0.97 	1.03 	1.07 	1.06 	0.97 	1.00 	1.06 	1.21 	1.20 
A,PC_GDP,ED1_2,RS	: 	: 	: 	1.80 	: 	1.68 d	: 	: 	: 
A,PC_GDP,ED1_2,SE	2.62 	2.56 	2.58 	2.60 	2.73 	2.79 	2.84 	2.84 	2.93 
A,PC_GDP,ED1_2,SI	2.47 	2.35 	2.31 	2.15 	2.12 	2.10 	2.19 	2.17 	2.37 
A,PC_GDP,ED1_2,SK	: 	1.70 	1.72 	1.76 	1.72 	1.78 	1.84 	2.00 	2.21 
A,PC_GDP,ED1_2,TR	2.14 	1.89 	1.84 	1.79 d	1.68 	1.48 	1.47 	1.69 	1.50 
A,PC_GDP,ED1_2,UK	: 	2.76 	2.87 	2.76 b	2.59 	2.56 	2.53 	2.56 	: 
A,PC_GDP,ED2,AT	1.25 	1.24 	1.21 	1.21 	1.20 	1.17 	1.10 	1.07 	1.13 
A,PC_GDP,ED2,BE	0.90 	0.90 	0.90 	0.88 	0.87 	0.87 	0.88 	0.87 	0.96 p
A,PC_GDP,ED2,BG	0.70 	0.79 	0.81 	0.77 	0.78 	0.80 	0.78 	0.81 	0.89 
A,PC_GDP,ED2,CH	1.04 	1.05 	1.01 	0.93 	0.91 	0.89 	0.84 	: 	0.90 
A,PC_GDP,ED2,CY	1.24 	1.25 	1.26 	1.23 	1.20 	1.10 	1.06 	1.06 	1.17 
A,PC_GDP,ED2,CZ	0.95 	0.88 	0.87 	0.88 	0.83 	0.92 	1.00 	1.15 	1.19 
A,PC_GDP,ED2,DE	1.24 	1.24 	1.22 	1.19 	1.17 	1.16 	1.18 	1.21 p	1.31 p
A,PC_GDP,ED2,DK	1.21 	1.14 	1.22 	: 	1.01 	1.00 	1.00 	0.97 	1.11 
A,PC_GDP,ED2,EE	0.74 	0.71 	0.61 	0.63 	0.62 	0.63 	0.68 	0.77 	0.85 
A,PC_GDP,ED2,EL	0.74 	0.73 	0.73 	0.73 	0.69 	0.67 p	0.73 	0.67 p	: 
A,PC_GDP,ED2,ES	0.84 	0.76 	0.75 	0.75 	0.74 	0.73 	0.72 	0.75 p	0.88 p
A,PC_GDP,ED2,EU27_2020	1.04 d	1.03 d	1.02 d	0.99 d	: 	0.96 d	0.96 d	0.98 d	1.04 d
A,PC_GDP,ED2,EU28	: 	: 	: 	: 	: 	0.93 d	0.94 d	0.96 d	: 
A,PC_GDP,ED2,FI	1.12 d	1.07 	1.09 	1.13 	1.11 	1.05 	1.06 	1.12 	1.15 
A,PC_GDP,ED2,FR	1.25 	1.24 	1.24 	1.22 	1.20 	1.20 	1.18 	1.17 p	1.26 
A,PC_GDP,ED2,HR	: 	: 	: 	: 	: d	: d	: d	: d	: d
A,PC_GDP,ED2,HU	0.78 	0.63 	0.59 	0.68 	0.80 	0.65 	0.65 	0.74 	0.72 
A,PC_GDP,ED2,IE	1.04 	0.89 	0.81 	0.63 	0.64 	0.48 	0.49 	0.48 	0.50 
